Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
06/28/2023,05/01/2022,05/31/2022,By Month,2022,5,Delaware,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,05/01/2022,05/31/2022,By Month,2022,5,Delaware,Decedent's home,,320,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2022,05/31/2022,By Month,2022,5,Delaware,Hospice facility,,104,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2022,05/31/2022,By Month,2022,5,Delaware,Nursing home/long term care facility,,121,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2022,05/31/2022,By Month,2022,5,Delaware,Other,0,61,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2022,05/31/2022,By Month,2022,5,Delaware,Place of death unknown,0,0,0,0,0,0,
06/28/2023,06/01/2022,06/30/2022,By Month,2022,6,Delaware,Total - All Places of Death,35,819,57,18,,75,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2022,06/30/2022,By Month,2022,6,Delaware,"Healthcare setting, inpatient",14,207,36,,,42,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2022,06/30/2022,By Month,2022,6,Delaware,"Healthcare setting, outpatient or emergency room",,45,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2022,06/30/2022,By Month,2022,6,Delaware,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,06/01/2022,06/30/2022,By Month,2022,6,Delaware,Decedent's home,,305,,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2022,06/30/2022,By Month,2022,6,Delaware,Hospice facility,,128,,,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2022,06/30/2022,By Month,2022,6,Delaware,Nursing home/long term care facility,,88,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2022,06/30/2022,By Month,2022,6,Delaware,Other,,46,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2022,06/30/2022,By Month,2022,6,Delaware,Place of death unknown,0,0,0,0,0,0,
06/28/2023,07/01/2022,07/31/2022,By Month,2022,7,Delaware,Total - All Places of Death,39,909,62,14,0,87,
06/28/2023,07/01/2022,07/31/2022,By Month,2022,7,Delaware,"Healthcare setting, inpatient",22,230,48,12,0,58,
06/28/2023,07/01/2022,07/31/2022,By Month,2022,7,Delaware,"Healthcare setting, outpatient or emergency room",0,53,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2022,07/31/2022,By Month,2022,7,Delaware,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2022,07/31/2022,By Month,2022,7,Delaware,Decedent's home,12,327,,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2022,07/31/2022,By Month,2022,7,Delaware,Hospice facility,,125,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2022,07/31/2022,By Month,2022,7,Delaware,Nursing home/long term care facility,,113,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2022,07/31/2022,By Month,2022,7,Delaware,Other,,60,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2022,07/31/2022,By Month,2022,7,Delaware,Place of death unknown,0,0,0,0,0,0,
06/28/2023,08/01/2022,08/31/2022,By Month,2022,8,Delaware,Total - All Places of Death,42,834,59,20,0,81,
06/28/2023,08/01/2022,08/31/2022,By Month,2022,8,Delaware,"Healthcare setting, inpatient",16,169,39,11,0,44,
06/28/2023,08/01/2022,08/31/2022,By Month,2022,8,Delaware,"Healthcare setting, outpatient or emergency room",,56,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,08/01/2022,08/31/2022,By Month,2022,8,Delaware,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,08/01/2022,08/31/2022,By Month,2022,8,Delaware,Decedent's home,12,337,,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,08/01/2022,08/31/2022,By Month,2022,8,Delaware,Hospice facility,,110,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,08/01/2022,08/31/2022,By Month,2022,8,Delaware,Nursing home/long term care facility,,108,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,08/01/2022,08/31/2022,By Month,2022,8,Delaware,Other,0,51,0,0,0,0,
06/28/2023,08/01/2022,08/31/2022,By Month,2022,8,Delaware,Place of death unknown,0,0,0,0,0,0,
06/28/2023,09/01/2022,09/30/2022,By Month,2022,9,Delaware,Total - All Places of Death,42,841,48,15,0,75,
06/28/2023,09/01/2022,09/30/2022,By Month,2022,9,Delaware,"Healthcare setting, inpatient",20,221,33,10,0,43,
06/28/2023,09/01/2022,09/30/2022,By Month,2022,9,Delaware,"Healthcare setting, outpatient or emergency room",,47,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2022,09/30/2022,By Month,2022,9,Delaware,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,09/01/2022,09/30/2022,By Month,2022,9,Delaware,Decedent's home,12,301,,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2022,09/30/2022,By Month,2022,9,Delaware,Hospice facility,,112,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2022,09/30/2022,By Month,2022,9,Delaware,Nursing home/long term care facility,,107,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2022,09/30/2022,By Month,2022,9,Delaware,Other,0,53,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2022,09/30/2022,By Month,2022,9,Delaware,Place of death unknown,0,0,0,0,0,0,
06/28/2023,10/01/2022,10/31/2022,By Month,2022,10,Delaware,Total - All Places of Death,28,966,48,,0,70,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2022,10/31/2022,By Month,2022,10,Delaware,"Healthcare setting, inpatient",10,215,38,,0,43,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2022,10/31/2022,By Month,2022,10,Delaware,"Healthcare setting, outpatient or emergency room",0,71,0,0,0,0,
06/28/2023,10/01/2022,10/31/2022,By Month,2022,10,Delaware,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2022,10/31/2022,By Month,2022,10,Delaware,Decedent's home,,358,,0,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2022,10/31/2022,By Month,2022,10,Delaware,Hospice facility,,158,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2022,10/31/2022,By Month,2022,10,Delaware,Nursing home/long term care facility,,124,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2022,10/31/2022,By Month,2022,10,Delaware,Other,,39,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2022,10/31/2022,By Month,2022,10,Delaware,Place of death unknown,0,0,0,0,0,0,
06/28/2023,11/01/2022,11/30/2022,By Month,2022,11,Delaware,Total - All Places of Death,34,932,62,12,,86,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2022,11/30/2022,By Month,2022,11,Delaware,"Healthcare setting, inpatient",,237,46,,,47,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2022,11/30/2022,By Month,2022,11,Delaware,"Healthcare setting, outpatient or emergency room",,54,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2022,11/30/2022,By Month,2022,11,Delaware,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2022,11/30/2022,By Month,2022,11,Delaware,Decedent's home,,353,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2022,11/30/2022,By Month,2022,11,Delaware,Hospice facility,10,128,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2022,11/30/2022,By Month,2022,11,Delaware,Nursing home/long term care facility,,103,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2022,11/30/2022,By Month,2022,11,Delaware,Other,0,55,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2022,11/30/2022,By Month,2022,11,Delaware,Place of death unknown,0,0,0,0,0,0,
06/28/2023,12/01/2022,12/31/2022,By Month,2022,12,Delaware,Total - All Places of Death,46,"1,039",72,15,21,123,
06/28/2023,12/01/2022,12/31/2022,By Month,2022,12,Delaware,"Healthcare setting, inpatient",26,288,50,10,13,78,
06/28/2023,12/01/2022,12/31/2022,By Month,2022,12,Delaware,"Healthcare setting, outpatient or emergency room",,69,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2022,12/31/2022,By Month,2022,12,Delaware,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,12/01/2022,12/31/2022,By Month,2022,12,Delaware,Decedent's home,,349,,,,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2022,12/31/2022,By Month,2022,12,Delaware,Hospice facility,,143,,0,,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2022,12/31/2022,By Month,2022,12,Delaware,Nursing home/long term care facility,,124,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2022,12/31/2022,By Month,2022,12,Delaware,Other,,66,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2022,12/31/2022,By Month,2022,12,Delaware,Place of death unknown,0,0,0,0,0,0,
06/28/2023,01/01/2023,01/31/2023,By Month,2023,1,Delaware,Total - All Places of Death,60,996,69,24,,109,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2023,01/31/2023,By Month,2023,1,Delaware,"Healthcare setting, inpatient",23,264,44,13,,58,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2023,01/31/2023,By Month,2023,1,Delaware,"Healthcare setting, outpatient or emergency room",,55,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2023,01/31/2023,By Month,2023,1,Delaware,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2023,01/31/2023,By Month,2023,1,Delaware,Decedent's home,11,365,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2023,01/31/2023,By Month,2023,1,Delaware,Hospice facility,14,117,12,,0,21,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2023,01/31/2023,By Month,2023,1,Delaware,Nursing home/long term care facility,10,135,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2023,01/31/2023,By Month,2023,1,Delaware,Other,0,59,0,0,0,0,
06/28/2023,01/01/2023,01/31/2023,By Month,2023,1,Delaware,Place of death unknown,0,0,0,0,0,0,
06/28/2023,02/01/2023,02/28/2023,By Month,2023,2,Delaware,Total - All Places of Death,48,885,60,19,,91,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2023,02/28/2023,By Month,2023,2,Delaware,"Healthcare setting, inpatient",19,230,40,12,,49,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2023,02/28/2023,By Month,2023,2,Delaware,"Healthcare setting, outpatient or emergency room",,42,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2023,02/28/2023,By Month,2023,2,Delaware,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2023,02/28/2023,By Month,2023,2,Delaware,Decedent's home,,336,,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2023,02/28/2023,By Month,2023,2,Delaware,Hospice facility,11,113,,,0,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2023,02/28/2023,By Month,2023,2,Delaware,Nursing home/long term care facility,,111,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2023,02/28/2023,By Month,2023,2,Delaware,Other,0,50,0,0,0,0,
06/28/2023,02/01/2023,02/28/2023,By Month,2023,2,Delaware,Place of death unknown,0,0,0,0,0,0,
06/28/2023,03/01/2023,03/31/2023,By Month,2023,3,Delaware,Total - All Places of Death,31,964,54,,,78,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2023,03/31/2023,By Month,2023,3,Delaware,"Healthcare setting, inpatient",,235,37,,,45,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2023,03/31/2023,By Month,2023,3,Delaware,"Healthcare setting, outpatient or emergency room",0,69,0,0,0,0,
06/28/2023,03/01/2023,03/31/2023,By Month,2023,3,Delaware,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2023,03/31/2023,By Month,2023,3,Delaware,Decedent's home,,344,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2023,03/31/2023,By Month,2023,3,Delaware,Hospice facility,,134,,,0,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2023,03/31/2023,By Month,2023,3,Delaware,Nursing home/long term care facility,,130,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2023,03/31/2023,By Month,2023,3,Delaware,Other,,50,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2023,03/31/2023,By Month,2023,3,Delaware,Place of death unknown,0,0,0,0,0,0,
06/28/2023,04/01/2023,04/30/2023,By Month,2023,4,Delaware,Total - All Places of Death,21,903,47,,0,66,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2023,04/30/2023,By Month,2023,4,Delaware,"Healthcare setting, inpatient",,226,31,,0,33,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2023,04/30/2023,By Month,2023,4,Delaware,"Healthcare setting, outpatient or emergency room",0,39,0,0,0,0,
06/28/2023,04/01/2023,04/30/2023,By Month,2023,4,Delaware,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2023,04/30/2023,By Month,2023,4,Delaware,Decedent's home,,328,,,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2023,04/30/2023,By Month,2023,4,Delaware,Hospice facility,,134,,0,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2023,04/30/2023,By Month,2023,4,Delaware,Nursing home/long term care facility,,119,,0,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2023,04/30/2023,By Month,2023,4,Delaware,Other,0,56,0,0,0,0,
06/28/2023,04/01/2023,04/30/2023,By Month,2023,4,Delaware,Place of death unknown,0,0,0,0,0,0,
06/28/2023,05/01/2023,05/31/2023,By Month,2023,5,Delaware,Total - All Places of Death,11,795,44,,0,52,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2023,05/31/2023,By Month,2023,5,Delaware,"Healthcare setting, inpatient",,207,34,,0,34,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2023,05/31/2023,By Month,2023,5,Delaware,"Healthcare setting, outpatient or emergency room",,52,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2023,05/31/2023,By Month,2023,5,Delaware,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,05/01/2023,05/31/2023,By Month,2023,5,Delaware,Decedent's home,,282,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2023,05/31/2023,By Month,2023,5,Delaware,Hospice facility,,119,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2023,05/31/2023,By Month,2023,5,Delaware,Nursing home/long term care facility,,96,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2023,05/31/2023,By Month,2023,5,Delaware,Other,0,39,0,0,0,0,
06/28/2023,05/01/2023,05/31/2023,By Month,2023,5,Delaware,Place of death unknown,0,0,0,0,0,0,
06/28/2023,06/01/2023,06/24/2023,By Month,2023,6,Delaware,Total - All Places of Death,,326,12,,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2023,06/24/2023,By Month,2023,6,Delaware,"Healthcare setting, inpatient",,66,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2023,06/24/2023,By Month,2023,6,Delaware,"Healthcare setting, outpatient or emergency room",0,18,0,0,0,0,
06/28/2023,06/01/2023,06/24/2023,By Month,2023,6,Delaware,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,06/01/2023,06/24/2023,By Month,2023,6,Delaware,Decedent's home,,118,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2023,06/24/2023,By Month,2023,6,Delaware,Hospice facility,0,55,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2023,06/24/2023,By Month,2023,6,Delaware,Nursing home/long term care facility,0,54,0,0,0,0,
06/28/2023,06/01/2023,06/24/2023,By Month,2023,6,Delaware,Other,0,15,0,0,0,0,
06/28/2023,06/01/2023,06/24/2023,By Month,2023,6,Delaware,Place of death unknown,0,0,0,0,0,0,
06/28/2023,01/01/2020,01/31/2020,By Month,2020,1,District of Columbia,Total - All Places of Death,0,607,40,0,,42,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,01/31/2020,By Month,2020,1,District of Columbia,"Healthcare setting, inpatient",0,314,35,0,,37,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,01/31/2020,By Month,2020,1,District of Columbia,"Healthcare setting, outpatient or emergency room",0,46,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,01/31/2020,By Month,2020,1,District of Columbia,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,01/01/2020,01/31/2020,By Month,2020,1,District of Columbia,Decedent's home,0,128,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,01/31/2020,By Month,2020,1,District of Columbia,Hospice facility,0,32,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,01/31/2020,By Month,2020,1,District of Columbia,Nursing home/long term care facility,0,47,0,0,0,0,
06/28/2023,01/01/2020,01/31/2020,By Month,2020,1,District of Columbia,Other,0,40,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,01/31/2020,By Month,2020,1,District of Columbia,Place of death unknown,0,0,0,0,0,0,
06/28/2023,02/01/2020,02/29/2020,By Month,2020,2,District of Columbia,Total - All Places of Death,0,512,39,0,,40,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2020,02/29/2020,By Month,2020,2,District of Columbia,"Healthcare setting, inpatient",0,254,36,0,,37,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2020,02/29/2020,By Month,2020,2,District of Columbia,"Healthcare setting, outpatient or emergency room",0,34,0,0,0,0,
06/28/2023,02/01/2020,02/29/2020,By Month,2020,2,District of Columbia,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,02/01/2020,02/29/2020,By Month,2020,2,District of Columbia,Decedent's home,0,111,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2020,02/29/2020,By Month,2020,2,District of Columbia,Hospice facility,0,22,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2020,02/29/2020,By Month,2020,2,District of Columbia,Nursing home/long term care facility,0,58,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2020,02/29/2020,By Month,2020,2,District of Columbia,Other,0,33,0,0,0,0,
06/28/2023,02/01/2020,02/29/2020,By Month,2020,2,District of Columbia,Place of death unknown,0,0,0,0,0,0,
06/28/2023,03/01/2020,03/31/2020,By Month,2020,3,District of Columbia,Total - All Places of Death,15,540,58,15,,64,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2020,03/31/2020,By Month,2020,3,District of Columbia,"Healthcare setting, inpatient",10,275,49,10,,55,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2020,03/31/2020,By Month,2020,3,District of Columbia,"Healthcare setting, outpatient or emergency room",,28,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2020,03/31/2020,By Month,2020,3,District of Columbia,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,03/01/2020,03/31/2020,By Month,2020,3,District of Columbia,Decedent's home,,138,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2020,03/31/2020,By Month,2020,3,District of Columbia,Hospice facility,0,22,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2020,03/31/2020,By Month,2020,3,District of Columbia,Nursing home/long term care facility,0,49,0,0,0,0,
06/28/2023,03/01/2020,03/31/2020,By Month,2020,3,District of Columbia,Other,0,28,0,0,0,0,
06/28/2023,03/01/2020,03/31/2020,By Month,2020,3,District of Columbia,Place of death unknown,0,0,0,0,0,0,
06/28/2023,04/01/2020,04/30/2020,By Month,2020,4,District of Columbia,Total - All Places of Death,262,900,303,259,,307,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2020,04/30/2020,By Month,2020,4,District of Columbia,"Healthcare setting, inpatient",219,471,254,218,,256,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2020,04/30/2020,By Month,2020,4,District of Columbia,"Healthcare setting, outpatient or emergency room",11,53,12,11,0,12,
06/28/2023,04/01/2020,04/30/2020,By Month,2020,4,District of Columbia,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,04/01/2020,04/30/2020,By Month,2020,4,District of Columbia,Decedent's home,,198,10,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2020,04/30/2020,By Month,2020,4,District of Columbia,Hospice facility,,23,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2020,04/30/2020,By Month,2020,4,District of Columbia,Nursing home/long term care facility,16,99,19,16,0,19,
06/28/2023,04/01/2020,04/30/2020,By Month,2020,4,District of Columbia,Other,,55,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2020,04/30/2020,By Month,2020,4,District of Columbia,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2020,05/31/2020,By Month,2020,5,District of Columbia,Total - All Places of Death,272,832,297,268,,302,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2020,05/31/2020,By Month,2020,5,District of Columbia,"Healthcare setting, inpatient",208,439,227,205,0,230,
06/28/2023,05/01/2020,05/31/2020,By Month,2020,5,District of Columbia,"Healthcare setting, outpatient or emergency room",10,41,10,10,0,10,
06/28/2023,05/01/2020,05/31/2020,By Month,2020,5,District of Columbia,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,05/01/2020,05/31/2020,By Month,2020,5,District of Columbia,Decedent's home,15,187,17,14,0,18,
06/28/2023,05/01/2020,05/31/2020,By Month,2020,5,District of Columbia,Hospice facility,10,33,10,10,0,10,
06/28/2023,05/01/2020,05/31/2020,By Month,2020,5,District of Columbia,Nursing home/long term care facility,25,84,29,25,0,29,
06/28/2023,05/01/2020,05/31/2020,By Month,2020,5,District of Columbia,Other,,48,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
